,Name,SiteName,State,GEOGRAPHIC LOCATION
61,"Acid_Pueblo_Canyon, NM, Site",APC,NM,Four Corners
58,"Adrian, MI, Site",ADR,MI,West Coast/Alaska
60,"Albany, OR, Site",AOR,OR,West Coast/Alaska
59,"Aliquippa, PA, Site",ALP,PA,Ohio River Valley
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,Four Corners
1,"Amchitka, AK, Site",AMC,AK,West Coast/Alaska
90,"Attleboro, MA, Site",ATT,MA,East Coast
111,"Ashtabula, OH, Site",ASH,OH,Ohio River Valley
62,"Bayo Canyon, NM, Site",BAY,NM,Four Corners
63,"Berkeley, CA, Site",BCA,CA,West Coast/Alaska
64,"Beverly, MA, Site",BEV,MA,East Coast
3,"Bluewater, NM, Disposal Site",BLU,NM,Four Corners
4,"BONUS, PR, Decommissioned Reactor Site",BON,PR,Southeastern US/Puerto Rico
99,"Bronco, CO, Site",BRO,CO,Four Corners
66,"Buffalo, NY, Site",BUF,NY,East Coast
5,"Burrell, PA, Disposal Site",BUR,PA,Ohio River Valley
65,"Burris Park, CA, Site",BRP,CA,West Coast/Alaska
6,"Canonsburg, PA, Disposal Site",CAN,PA,Ohio River Valley
97,"Casper, WY, Calibration Model",CSC,WY,Intermountain West
7,"Central Nevada Test Area, NV",CNT,NV,Intermountain West
111,"Chariot, AK, Site",CHA,AK,West Coast/Alaska
68,"Chicago North, IL, Site",CHN,IL,Central Plains/Texas
69,"Chicago South, IL, Site",CHS,IL,Central Plains/Texas
67,"Chupadera Mesa, NM, Site",CHM,NM,Four Corners
98,"Colonie, NY, Site",CLN,NY,East Coast
70,"Columbus East, OH, Site",COE,OH,Ohio River Valley
8,"Durango, CO, Disposal Site",DUD,CO,Four Corners
9,"Durango, CO, Processing Site",DUP,CO,Four Corners
10,"Edgemont, SD, Disposal Site",EDG,SD,Central Plains/Texas
111,"El Verde, PR, Site",ELV,PR,Southeastern US/Puerto Rico
71,"Fairfield, OH, Site",FFO,OH,Ohio River Valley
11,"Falls City, TX, Disposal Site",FCT,TX,Central Plains/Texas
12,"Fernald Preserve, OH, Site",FER,OH,Ohio River Valley
18,"Gasbuggy, NM, Site",GSB,NM,Four Corners
96,"George West, TX, Calibration Model",GWC,TX,Central Plains/Texas
15,"Gnome-Coach, NM, Site",GNO,NM,Four Corners
15,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,Four Corners
16,"Grand Junction, CO, Calibration Model",GJC,CO,Four Corners
