,OBJECTID,ID,TransferYear,Directory,FactSheetUrl,ZoomLevel,Latitude,Longitude,Name,NameMnemonic,StateCode,PublicWebpageUrl,RegulatoryDriver,MaintenanceCategory,SiteCoordSysWkid,SiteCoordSysWkt,AvailableOnWeb,ShortName,LastUpdated,LastRun,geometry
0,1,1,1998,\NM\AmbrosiaLakeDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1478,15,35.408798,-107.799285,"Ambrosia Lake, NM, Disposal Site",AMB,NM,https://www.energy.gov/lm/ambrosia-lake-new-mexico-disposal-site,UMTRCA Title I,2,32014,,Y,Ambrosia Lake Disposal Site,1.60E+12,1.61E+12,POINT (-12000161.5141 4219574.868500002)
1,2,2,2008,\AK\Amchitka,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=491,13,51.436583,179.179778,"Amchitka, AK, Site",AMC,AK,https://www.energy.gov/lm/amchitka-alaska-site,Nevada Offsites,2,102640,,Y,Amchitka Site,1.60E+12,1.61E+12,POINT (19946201.6474 6698886.590599999)
2,3,3,2004,\NM\L-BarDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1515,15,35.187651,-107.334722,"L-Bar, NM, Disposal Site",BAR,NM,https://www.energy.gov/lm/l-bar-new-mexico-disposal-site,UMTRCA Title II,2,6318,,Y,L-Bar Disposal Site,1.61E+12,1.61E+12,POINT (-11948446.5975 4189411.496299997)
3,4,4,1997,\NM\BluewaterDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1491,14,35.270623,-107.947483,"Bluewater, NM, Disposal Site",BLU,NM,https://www.energy.gov/lm/bluewater-new-mexico-disposal-site,UMTRCA Title II,2,6318,,Y,Bluewater Disposal Site,1.60E+12,1.61E+12,POINT (-12016658.84 4200718.815499999)
4,5,5,2004,\PR\BONUSDecommissionedReactor,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1787,18,18.364744,-67.268557,"BONUS, PR, Decommissioned Reactor Site",BON,PR,https://www.energy.gov/lm/bonus-puerto-rico-decommissioned-reactor-site,D&D,2,-1,,Y,BONUS Decommissioned Reactor Site,1.61E+12,1.61E+12,POINT (-7488301.511600001 2080285.691300001)
5,6,6,1994,\PA\BurrellDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1806,15,40.433059,-79.242531,"Burrell, PA, Disposal Site",BUR,PA,https://www.energy.gov/lm/burrell-pennsylvania-disposal-site,UMTRCA Title I,2,6318,,Y,Burrell Disposal Site,1.61E+12,1.61E+12,POINT (-8821238.200099999 4929074.244400002)
6,7,7,1996,\PA\CanonsburgDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1811,17,40.256152,-80.199721,"Canonsburg, PA, Disposal Site",CAN,PA,https://www.energy.gov/lm/canonsburg-pennsylvania-disposal-site,UMTRCA Title I,2,6318,,Y,Canonsburg Disposal Site,1.61E+12,1.61E+12,POINT (-8927792.103499999 4903235.708700001)
7,8,8,2008,\NV\CentralNevadaTestArea,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=1376,13,38.634232,-116.216219,"Central Nevada Test Area, NV",CNT,NV,https://www.energy.gov/lm/central-nevada-test-area-cnta-nevada-site,Nevada Offsites,2,6318,,Y,Central Nevada Test Area,1.60E+12,1.61E+12,POINT (-12937130.321 4669413.050800003)
8,9,9,1996,\CO\DurangoDisposal,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=942,16,37.248481,-107.903876,"Durango, CO, Disposal Site",DUD,CO,https://www.energy.gov/lm/durango-colorado-disposal-and-processing-sites,UMTRCA Title I,2,6318,,Y,Durango Disposal Site,1.60E+12,1.61E+12,POINT (-12011804.5309 4473798.660899997)
9,10,10,1996,\CO\DurangoProcessing,https://www.lm.doe.gov/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=942,15,37.26562,-107.884723,"Durango, CO, Processing Site",DUP,CO,https://www.energy.gov/lm/durango-colorado-disposal-and-processing-sites,UMTRCA Title I,2,102655,,Y,Durango Processing Site,1.60E+12,1.61E+12,POINT (-12009672.4287 4476195.744400002)
